Fecha,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Version,#DIV/0!
2011-01-30,101.84908,101.84908,101.84908,101.84908,101.84908,101.84908,101.84908,101.84908,101.84908,106.84808,106.84808,106.84808,106.84908,106.84808,106.84808,106.84808,101.84908,106.84808,114.94908,115.34908,115.34908,114.94908,114.94908,101.84908,TX4,106.277955
2011-01-31,77.512293,77.512293,77.512293,77.512293,77.512293,107.511293,107.511293,107.512293,109.512293,109.512293,109.512293,115.612293,115.612293,115.612293,115.612293,115.612293,115.612293,115.612293,115.612293,133.512293,115.612293,115.612293,109.512293,107.511293,TX4,106.053834666667
2011-02-01,109.317015,109.317015,109.317015,109.317015,109.317015,111.817015,111.817015,111.817015,119.317015,119.317015,119.317015,119.317015,119.317015,119.317015,119.317015,119.317015,119.317015,119.317015,161.317015,222.950015,161.317015,119.317015,119.317015,111.817015,TX3,123.801723333333
2011-02-02,101.144761,101.144761,101.144761,101.144761,114.644761,114.644761,117.144761,117.144761,117.144761,117.144761,120.643761,120.643761,120.643761,120.643761,120.643761,120.643761,120.643761,117.144761,138.644761,162.644761,162.644761,127.644761,117.144761,114.644761,TX3,120.311136
2011-02-03,114.937502,114.937502,112.937502,112.937502,114.937502,114.937502,118.437502,118.437502,118.437502,137.937502,141.927502,142.937502,141.927502,141.927502,141.927502,141.927502,138.937502,127.937502,142.937502,162.932502,142.937502,142.937502,118.437502,114.937502,TX3,130.143543666667
2011-02-04,114.282455,114.282455,114.282455,114.282455,114.282455,119.282455,119.282455,119.282455,133.282455,133.282455,133.282455,133.282455,133.282455,133.282455,133.282455,133.282455,133.282455,133.282455,138.282455,163.282455,138.282455,133.282455,133.282455,119.282455,TX3,128.657455
2011-02-05,112.262388,112.262388,112.262388,112.262388,112.262388,112.262388,112.262388,114.262388,114.262388,114.762388,114.762388,114.762388,114.762388,114.762388,114.262388,114.262388,114.262388,114.262388,114.762388,138.762388,114.762388,114.762388,114.262388,112.262388,TX3,114.783221333333
2011-02-06,111.329453,111.329453,108.829453,108.829453,108.829453,108.829453,108.829453,108.829453,111.329453,111.329453,111.329453,111.329453,112.829453,112.829453,111.329453,111.329453,111.329453,111.329453,112.829453,145.829453,145.829453,112.829453,112.829453,111.329453,TX3,113.891953
2011-02-07,107.171563,107.171563,107.171563,107.171563,109.735563,113.235563,113.235563,113.235563,113.235563,113.235563,113.235563,113.235563,113.235563,113.235563,113.235563,113.235563,113.235563,116.235563,119.735563,119.735563,119.735563,116.235563,113.235563,113.235563,TX3,113.141563
2011-02-08,110.212795,105.539795,105.539795,105.539795,110.212795,110.312795,110.312795,110.312795,113.312795,113.312795,113.312795,113.312795,113.312795,113.312795,113.312795,113.312795,113.312795,113.312795,114.312795,114.312795,114.312795,113.312795,110.312795,110.212795,TX3,111.57867
2011-02-09,106.392645,105.165645,105.165645,105.165645,105.165645,110.165645,110.165645,110.165645,110.165645,110.165645,110.165645,110.165645,110.165645,110.165645,110.165645,110.165645,110.165645,110.165645,114.665645,114.665645,113.165645,110.965645,110.165645,106.392645,TX3,109.551228333333
2011-02-10,102.135753,102.135753,102.135753,102.135753,102.135753,103.344753,103.344753,103.344753,108.135753,108.135753,108.135753,112.635753,108.135753,111.135753,112.135753,112.135753,111.135753,111.135753,113.135753,113.635753,113.635753,113.135753,108.135753,103.344753,TX3,107.858086333333
2011-02-11,99.759454,99.759454,99.759454,99.759454,99.759454,103.759454,107.759454,107.759454,107.759454,107.759454,107.759454,107.759454,107.759454,107.759454,108.759454,107.759454,107.759454,107.759454,110.759454,112.759454,108.759454,107.759454,103.759454,103.759454,TX3,106.009454
2011-02-12,98.485222,97.985222,97.985222,97.985222,97.985222,100.985222,100.985222,106.985222,110.485222,110.485222,112.809222,112.809222,112.985222,112.809222,110.485222,110.485222,110.485222,110.485222,112.985222,112.985222,112.985222,112.985222,110.485222,106.985222,TX3,107.629888666667
2011-02-13,102.944555,102.944555,102.944555,102.944555,102.944555,102.944555,102.944555,102.944555,102.944555,102.944555,102.944555,107.944555,111.444555,107.944555,102.944555,102.944555,102.944555,107.944555,113.944555,113.944555,113.944555,113.444555,111.444555,102.944555,TX3,106.090388333333
2011-02-14,96.612664,96.612664,96.612664,96.612664,97.612664,101.612664,106.612664,106.612664,106.612664,106.612664,108.612664,108.612664,108.612664,108.612664,108.612664,108.612664,108.612664,108.612664,110.613664,110.613664,110.613664,108.612664,106.612664,97.686664,TX3,105.240872333333
2011-02-15,97.521708,97.521708,97.521708,97.521708,97.521708,97.521708,98.521708,98.521708,100.521708,100.521708,102.521708,102.521708,102.521708,102.521708,103.521708,102.521708,102.521708,102.521708,108.521708,168.980708,108.521708,102.521708,98.521708,97.521708,TX3,103.707499666667
2011-02-16,90.6608,90.6608,90.6608,90.6608,90.6608,91.6608,91.6608,91.6608,93.0088,93.0088,94.6608,94.6608,94.6608,94.6608,94.6608,94.6608,94.6608,94.6608,99.1608,99.1608,99.1608,94.6608,91.6608,91.6608,TX3,93.6273
2011-02-17,85.180624,85.180624,85.180624,85.180624,85.180624,91.180624,92.680624,92.680624,92.680624,92.680624,93.180624,93.180624,92.680624,92.680624,93.180624,93.180624,93.180624,92.680624,93.180624,103.180624,93.180624,92.680624,91.180624,88.180624,TX3,91.3889573333334
2011-02-18,84.180526,83.180526,83.180526,83.180526,84.180526,90.180526,97.180526,97.180526,97.180526,97.180526,111.680526,124.180526,102.180526,102.180526,124.180526,124.180526,102.180526,102.180526,124.180526,124.180526,124.180526,124.180526,97.180526,90.180526,TX3,103.076359333333
2011-02-19,89.882697,87.882697,86.882697,86.882697,87.882697,89.882697,89.882697,90.882697,90.882697,90.882697,95.782697,95.782697,95.782697,90.882697,90.882697,90.882697,90.882697,90.882697,95.782697,95.782697,95.782697,95.782697,90.882697,89.882697,TX3,91.5618636666667
2011-02-20,95.199557,89.399557,85.399557,85.399557,85.399557,85.399557,85.399557,89.399557,95.199557,95.199557,95.199557,95.199557,95.199557,95.199557,95.199557,95.199557,95.199557,95.199557,95.299557,95.299557,95.299557,95.299557,95.199557,95.199557,TX3,92.6912236666666
2011-02-21,92.130411,92.130411,92.130411,92.130411,92.130411,94.730411,94.730411,94.730411,94.730411,94.730411,96.630411,96.630411,96.630411,96.630411,96.630411,96.630411,96.630411,94.730411,96.630411,142.745411,97.730411,96.630411,94.730411,92.130411,TX3,96.918536
2011-02-22,94.651628,88.751628,88.751628,88.751628,94.651628,94.651628,94.751628,96.951628,96.951628,96.951628,96.951628,97.751628,96.951628,96.951628,100.751628,100.751628,97.751628,96.951628,97.751628,169.210628,100.751628,96.951628,94.751628,94.651628,TX3,98.945753
2011-02-23,93.13867,93.13867,93.13867,93.13867,93.13867,93.13867,93.63867,93.63867,93.63867,93.63867,97.13867,97.13867,97.13867,97.13867,97.13867,97.13867,97.13867,93.63867,100.13867,107.13867,100.13867,93.63867,93.13867,93.13867,TX3,95.5970033333334
