Fecha,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Version
2020-02-01,395.143832,387.143832,387.143832,395.143832,387.143832,387.143832,387.143832,395.143832,400.503832,411.143832,411.143832,411.143832,411.143832,411.143832,411.143832,400.503832,400.503832,400.503832,411.143832,415.143832,411.143832,411.143832,400.503832,395.143832,TX2
2020-02-02,371.212184,371.212184,371.212184,371.212184,347.212184,347.212184,347.212184,420.212184,371.212184,371.212184,371.212184,371.212184,371.212184,371.212184,371.212184,371.212184,450.212184,347.212184,371.212184,380.304184,380.304184,380.304184,371.212184,347.212184,TX2
2020-02-03,379.01883,379.01883,379.01883,379.01883,379.01883,391.01883,391.01883,391.01883,411.01883,411.01883,423.01883,423.01883,413.01883,423.01883,423.01883,423.01883,423.01883,413.01883,423.01883,423.01883,423.01883,423.01883,411.01883,391.01883,TX2
2020-02-04,401.129072,385.129072,363.129072,363.129072,381.129072,420.129072,401.129072,401.129072,401.129072,401.129072,420.129072,420.129072,420.129072,420.129072,432.129072,420.129072,420.129072,401.129072,432.129072,432.129072,420.129072,420.129072,401.129072,401.129072,TX2
2020-02-05,399,399,399,395,399,402,399,402,402,402,405,410,405,405,410,410,410,402,410,425,410,405,402,399,TX2
2020-02-06,390.053933,390.053933,390.003933,389.003933,390.053933,390.053933,390.053933,390.183933,393.003933,393.003933,393.003933,394.003933,393.003933,393.003933,393.003933,393.003933,393.003933,393.003933,394.003933,394.003933,393.003933,393.003933,390.183933,390.053933,TX2
2020-02-07,370.737287,370.737287,361.737287,361.737287,370.737287,389.737287,389.737287,389.737287,391.237287,391.237287,391.237287,399.237287,394.337287,391.237287,399.237287,399.237287,399.237287,391.237287,394.337287,399.237287,394.337287,391.237287,391.237287,391.237287,TX2
2020-02-08,372.303644,372.303644,370.303644,370.303644,370.303644,372.303644,372.303644,372.303644,389.303644,392.303644,392.303644,393.903644,393.903644,393.903644,392.303644,392.303644,392.303644,389.303644,392.303644,401.303644,393.903644,392.303644,393.903644,380.303644,TX2
2020-02-09,355.074853,355.074853,355.074853,355.074853,345.074853,345.074853,345.074853,345.074853,355.074853,359.074853,359.074853,370.074853,370.074853,370.074853,370.074853,370.074853,359.074853,359.074853,380.074853,389.074853,389.074853,389.074853,389.074853,359.074853,TX2
2020-02-10,310.23955,310.23955,310.23955,310.23955,310.23955,330.23955,330.23955,380.23955,359.23855,380.23955,389.23955,389.23955,380.23955,380.69955,380.69955,389.23955,380.69955,380.23955,380.69955,389.23955,380.69955,380.23955,380.23955,340.23955,TX2
2020-02-11,349.731716,340.731716,332.731716,332.731716,340.731716,350.731716,350.731716,360.731716,369.731716,388.771716,455.731716,435.731716,435.731716,435.731716,435.731716,435.731716,435.731716,435.731716,435.731716,435.731716,435.731716,500.731716,369.731716,360.731716,TX2
